user_id,first_name,last_name,email,department ,role,created_at,updated_at
U001,Clemente,Zannotelli,czannotelli0@geocities.jp,Education,learner,2/14/2026,2/2/2026
U002,Jesse,Skelhorne,jskelhorne1@discuz.net,Education,admin,2/17/2026,2/8/2026
U003,Billie,Broggini,bbroggini2@cnbc.com,Management,learner,2/13/2026,2/13/2026
U004,Godiva,Elecum,gelecum3@tinypic.com,Legal,learner,2/8/2026,2/9/2026
U005,Leisha,Ffoulkes,lffoulkes4@live.com,Management,learner,2/1/2026,1/23/2026
U006,Joyous,Simco,jsimco5@foxnews.com,Community,learner,2/6/2026,1/18/2026
U007,Thatch,Sahnow,tsahnow6@nasa.gov,Management,learner,2/9/2026,1/15/2026
U008,Celina,Lapslie,clapslie7@posterous.com,Management,learner,2/7/2026,2/16/2026
U009,Constantino,Smitten,csmitten8@github.io,Management,learner,2/15/2026,1/12/2026
U010,Neely,Bauduin,nbauduin9@artisteer.com,HR,admin,2/17/2026,2/8/2026
U011,Sophey,Diggell,sdiggella@usnews.com,Community,learner,2/13/2026,2/10/2026
U012,Seana,Tregear,stregearb@businessweek.com,Community,learner,2/4/2026,1/25/2026
U013,Bertram,McColm,bmccolmc@xing.com,Community,learner,2/17/2026,1/9/2026
U014,Lori,Noel,lnoeld@angelfire.com,Management,learner,2/13/2026,2/12/2026
U015,Nickolaus,Frossell,nfrosselle@cpanel.net,Community,learner,2/12/2026,1/30/2026
U016,Ambrose,Catanheira,acatanheiraf@fema.gov,Education,learner,2/6/2026,1/9/2026
U017,Mariejeanne,Lehr,mlehrg@goo.ne.jp,Legal,learner,2/10/2026,1/10/2026
U018,Raphaela,Goodred,rgoodredh@lycos.com,Legal,learner,2/3/2026,1/15/2026
U019,Nathanial,Tenbrug,ntenbrugi@google.co.jp,Education,learner,2/11/2026,2/17/2026
U020,Cornell,Raikes,craikesj@blogtalkradio.com,Management,learner,2/15/2026,1/22/2026
U021,Liza,Findlay,lfindlayk@booking.com,Management,learner,2/4/2026,1/30/2026
U022,Hewitt,Finlason,hfinlasonl@so-net.ne.jp,Management,learner,2/3/2026,1/29/2026
U023,Pyotr,Mountjoy,pmountjoym@yahoo.co.jp,Education,learner,2/9/2026,1/31/2026
U024,Darrel,Petch,dpetchn@networkadvertising.org,Community,learner,2/8/2026,1/12/2026
U025,Guenna,FitzAlan,gfitzalano@amazon.de,Education,learner,2/14/2026,2/15/2026
U026,Jorey,Mowen,jmowenp@reddit.com,HR,learner,2/15/2026,2/16/2026
U027,Rene,Kolushev,rkolushevq@etsy.com,Education,admin,2/11/2026,2/3/2026
U028,Silvio,Seathwright,sseathwrightr@freewebs.com,Management,admin,2/10/2026,1/15/2026
U029,Cobbie,Freak,cfreaks@godaddy.com,Education,learner,2/3/2026,1/8/2026
U030,Martin,Clyant,mclyantt@seesaa.net,Legal,learner,2/15/2026,2/6/2026
U031,Maggi,Odhams,modhamsu@fotki.com,Management,learner,2/2/2026,2/3/2026
U032,Allyce,Fletcher,afletcherv@nhs.uk,Legal,admin,2/10/2026,2/16/2026
U033,Haley,Izon,hizonw@biglobe.ne.jp,Management,learner,2/1/2026,2/3/2026
U034,Siusan,Kwietek,skwietekx@jiathis.com,Management,learner,2/17/2026,1/25/2026
U035,Benson,Bassett,bbassetty@4shared.com,Legal,learner,2/1/2026,1/5/2026
U036,Nikkie,Paute,npautez@chicagotribune.com,Legal,learner,2/3/2026,1/14/2026
U037,Wayland,Miebes,wmiebes10@economist.com,HR,admin,2/16/2026,1/17/2026
U038,Valentia,Vurley,vvurley11@spotify.com,Management,learner,2/11/2026,2/13/2026
U039,Torrey,Innman,tinnman12@sogou.com,Management,admin,2/5/2026,2/10/2026
U040,Tyne,Arondel,tarondel13@yale.edu,Legal,admin,2/10/2026,1/26/2026
U041,Feodora,Shakesby,fshakesby14@npr.org,Management,learner,2/14/2026,1/8/2026
U042,Chet,Killich,ckillich15@shop-pro.jp,Education,learner,2/9/2026,1/30/2026
U043,Ulrike,Normanvill,unormanvill16@sitemeter.com,Management,learner,2/2/2026,1/28/2026
U044,Sigismundo,Nurse,snurse17@amazon.co.uk,HR,admin,2/15/2026,1/2/2026
U045,Cammy,Swadden,cswadden18@chronoengine.com,Education,learner,2/12/2026,1/15/2026
U046,Ayn,Arnal,aarnal19@weather.com,Education,learner,2/18/2026,2/9/2026
U047,Arman,Bertrand,abertrand1a@desdev.cn,Education,learner,2/4/2026,2/1/2026
U048,Abbi,Dumphy,adumphy1b@soup.io,Legal,admin,2/15/2026,1/29/2026
U049,Correy,Leinthall,cleinthall1c@merriam-webster.com,Legal,learner,2/13/2026,1/8/2026
U050,Aggy,Leupoldt,aleupoldt1d@cam.ac.uk,Education,admin,2/1/2026,1/14/2026
